"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"New.0.ReferenceOTU198"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU63"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.CleanUp.ReferenceOTU26335"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU145"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU116"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"321735"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"185550"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"177414"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"801260"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"176154"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU278"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"320169"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU188"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU248"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"192316"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"173852"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU320"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU265"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU39"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"177533"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"262752"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"3231096"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"197038"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU156"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU125"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"187028"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"277364"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"190976"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"183958"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"174573"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"182945"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"38278"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"190835"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.CleanUp.ReferenceOTU9264"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU159"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"273208"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"182844"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"183477"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"162639"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"4444277"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"[Odoribacteraceae]"	"Odoribacter"	NA
"170335"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"[Odoribacteraceae]"	"Odoribacter"	NA
"465433"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"157573"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"1517779"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"953855"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"4476780"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"185420"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"199534"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"New.0.CleanUp.ReferenceOTU10245"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"270391"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"New.0.CleanUp.ReferenceOTU19919"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"575041"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"162539"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"New.1.CleanUp.ReferenceOTU28525"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA
"4256470"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"ovatus"
"304047"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"acidifaciens"
"1992"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"ovatus"
"196664"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA
"182886"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"uniformis"
"3327894"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"uniformis"
"New.1.CleanUp.ReferenceOTU11103"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA
"296045"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA
"New.1.CleanUp.ReferenceOTU11280"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA
"186358"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA
"181719"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA
"4401580"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"fragilis"
"4449524"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	NA
"259772"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Coprococcus"	NA
"3919797"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"351309"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"259846"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"258423"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"183849"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"producta"
"New.0.ReferenceOTU173"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"producta"
"179657"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"producta"
"188840"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"producta"
"188610"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"producta"
"185884"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"producta"
"295188"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"269726"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.1.CleanUp.ReferenceOTU6110"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"439437"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU250"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"209030"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"193064"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"New.0.ReferenceOTU164"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU308"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU57"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.CleanUp.ReferenceOTU15956"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"4481506"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"463233"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU110"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU33"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"2212505"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"264734"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"578016"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	"distasonis"
"2497335"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	"distasonis"
"195123"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	"distasonis"
"291090"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	"distasonis"
"180731"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	NA
"New.1.CleanUp.ReferenceOTU9142"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	"distasonis"
"215495"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"207284"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"262166"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.CleanUp.ReferenceOTU3926"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"242029"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"210950"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"264657"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU282"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU43"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"265052"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"206324"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.CleanUp.ReferenceOTU4820"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"261177"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.1.CleanUp.ReferenceOTU31248"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"185614"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"198339"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"174805"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU174"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"174727"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"176100"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.CleanUp.ReferenceOTU9871"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"178546"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"177512"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"178068"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"180077"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"New.0.ReferenceOTU311"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"177115"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"184517"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"198865"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"261350"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"315147"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	NA	NA
"178480"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	NA
"179547"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	NA
"187400"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	NA
"3709990"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"[Eubacterium]"	"dolichum"
"828435"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	NA	NA
"260397"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Allobaculum"	NA
"4407703"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Coprobacillus"	NA
"262095"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Clostridium"	"saccharogumia"
"4426641"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Allobaculum"	NA
"182764"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA
"1918929"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"mitochondria"	NA	NA
"1684221"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	"C21_c20"
"174358"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"1571092"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"586453"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"376862"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Candidatus Arthromitus"	NA
"2286580"	"Bacteria"	"Tenericutes"	"Mollicutes"	"RF39"	NA	NA	NA
"4432841"	"Bacteria"	"Tenericutes"	"Mollicutes"	"RF39"	NA	NA	NA
"New.0.ReferenceOTU216"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"RF32"	NA	NA	NA
"New.0.CleanUp.ReferenceOTU52139"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"RF32"	NA	NA	NA
"288521"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"reuteri"
"4354103"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA
"324888"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA
"539647"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA
"340960"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA
"4397402"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA
"344703"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA
